,id,length,cols,label,earliest_entry,latest_entry,timestamp_density,median_trip_distance,average_trip_distance
quarterly_simulation_1885.csv,1885,137742,428,commercial,2007-06-30 07:42:06,2009-06-30 08:11:03,458.54068475846145,8499.5,16290.286801453885
quarterly_simulation_1887.csv,1887,104791,428,commercial,2007-06-30 08:50:15,2009-06-30 09:35:47,602.739901327404,1618.0,2479.0136585365854
quarterly_simulation_1892.csv,1892,114240,428,commercial,2007-07-01 01:42:45,2009-06-30 11:53:50,552.421918767507,1302.0,4018.280683094014
quarterly_simulation_1894.csv,1894,98308,428,commercial,2007-06-30 03:48:39,2009-06-30 06:18:20,642.5526101639745,1000.5,1640.5174304188922
quarterly_simulation_1897.csv,1897,106741,428,commercial,2007-06-30 09:17:17,2009-06-30 10:48:30,591.7560824800217,1588.0,2431.7217418159357
quarterly_simulation_1910.csv,1910,118270,428,private,2007-06-28 10:58:28,2009-06-30 14:08:44,535.5771370592712,4786.0,22150.242694624136
quarterly_simulation_1912.csv,1912,92430,428,commercial,2007-06-30 08:53:33,2009-06-30 09:08:12,683.3243102888672,1975.0,5548.995103857566
quarterly_simulation_1917.csv,1917,94729,428,commercial,2007-06-30 14:11:51,2009-06-30 10:42:59,666.5968921871867,778.0,1554.7578657012327
quarterly_simulation_1918.csv,1918,92931,428,commercial,2007-07-01 00:03:59,2009-06-30 23:28:45,679.6227954073453,2578.0,4095.1697528472923
quarterly_simulation_192.csv,192,86039,428,private,2007-06-30 12:33:33,2009-06-19 10:56:11,722.9610409233022,11340.0,15641.761430511544
quarterly_simulation_1920.csv,1920,107690,428,commercial,2007-06-30 07:24:42,2009-06-30 23:11:22,587.0138174389451,1619.0,5012.682436752215
quarterly_simulation_1921.csv,1921,80372,428,private,2007-06-30 17:58:15,2009-06-29 15:33:32,784.6441795650227,1690.0,3766.9628820960697
quarterly_simulation_1922.csv,1922,95448,428,commercial,2007-06-30 10:32:31,2009-06-30 10:00:58,661.6928170312631,504.0,1386.5394548063127
quarterly_simulation_1936.csv,1936,96853,428,commercial,2007-06-30 07:26:10,2009-06-30 09:22:37,652.1802835224515,1172.0,3076.4586054552437
quarterly_simulation_1937.csv,1937,170553,428,commercial,2007-06-29 16:05:54,2009-06-30 15:24:43,370.8106864141938,18839.0,50009.5376750389
quarterly_simulation_1954.csv,1954,112453,428,private,2007-07-01 00:01:07,2009-06-30 17:16:18,561.4277787164415,4289.0,11939.595194367921
quarterly_simulation_1964.csv,1964,82717,428,private,2007-06-30 17:53:25,2009-06-30 16:03:30,763.4730466530459,2025.0,5525.177391799544
quarterly_simulation_1966.csv,1966,86061,428,private,2007-06-30 10:50:14,2009-06-30 23:05:00,734.3985312743287,2695.0,9452.863817097415
quarterly_simulation_1968.csv,1968,93059,428,private,2007-06-30 22:03:06,2009-06-30 17:23:40,678.5195198744882,2769.0,7476.782642843118
quarterly_simulation_1970.csv,1970,84753,428,private,2007-06-30 16:17:50,2009-06-28 08:38:54,742.8503297818366,6279.0,7732.506963788301
quarterly_simulation_1972.csv,1972,91683,428,private,2007-06-30 09:16:07,2009-06-30 18:51:32,689.263636661104,966.0,5090.497886013868
quarterly_simulation_1973.csv,1973,81284,428,private,2007-07-01 00:12:25,2009-06-30 13:00:14,776.514738447911,8157.0,13607.70477891916
quarterly_simulation_1976.csv,1976,105346,428,private,2007-06-30 15:18:36,2009-06-30 21:17:01,599.7435972889336,4021.0,10648.505814905815
quarterly_simulation_1977.csv,1977,80523,428,private,2007-06-30 14:41:29,2009-06-10 08:14:13,762.6066465481912,3758.5,6525.512147078135
quarterly_simulation_1996.csv,1996,100044,428,private,2007-06-28 16:26:13,2009-06-30 18:43:51,633.1182779576986,3774.5,12826.612394491338
quarterly_simulation_203.csv,203,100848,428,private,2007-06-30 17:30:52,2009-04-29 16:25:03,573.1248909249564,4241.0,21026.743006535948
quarterly_simulation_2067.csv,2067,148797,428,commercial,2007-06-30 06:45:18,2009-06-30 11:20:16,424.5769739981317,14771.0,26305.543997863533
quarterly_simulation_2073.csv,2073,135277,428,commercial,2007-06-30 21:01:29,2009-06-30 10:43:40,466.6139994234053,16457.0,28899.077497665734
quarterly_simulation_2080.csv,2080,80817,428,private,2007-06-28 16:00:14,2009-06-17 16:13:31,769.7598648799138,1300.5,15538.450402144772
quarterly_simulation_2089.csv,2089,146050,428,commercial,2007-06-30 05:56:37,2009-06-30 13:04:05,432.62068469702155,11884.0,27980.344184670023
quarterly_simulation_2099.csv,2099,152957,428,commercial,2007-06-30 05:51:53,2009-06-30 23:34:44,413.33615329798573,11453.5,30216.442857142858
quarterly_simulation_211.csv,211,95688,428,private,2007-06-29 20:00:41,2009-06-29 03:59:06,659.4511746509489,1319.0,13448.821138211382
quarterly_simulation_2124.csv,2124,82212,428,private,2007-06-30 18:12:49,2009-06-30 10:14:37,767.8908066948864,4533.5,6328.993581514763
quarterly_simulation_2130.csv,2130,85962,428,private,2007-07-01 00:00:35,2009-06-30 22:44:06,734.6724133919639,5822.0,7964.380866888946
