,id,total_timestamps,driving,timestamps_no_capa,percentage,average priority,median priority,average soc,median soc,recharge sum,consumption sum,time plugged in,color
0,0,67200,4892,449,9.18,4.64,5.0,86.51,98.07,5024.1538762271875,6808.376745320239,60248,tab:red
1,1,67200,4835,353,7.3,4.48,5.0,88.96,100.0,4880.28565699066,6289.415571923177,60300,tab:red
2,2,67200,5395,328,6.08,4.62,5.0,87.5,99.23,4705.156073010881,5939.413713553532,59393,tab:red
3,3,67200,4684,200,4.27,4.42,5.0,90.87,99.52,4156.648334669537,5089.2035243857845,60163,tab:red
4,4,65856,4298,174,4.05,4.4,5.0,91.93,100.0,3513.0830454793463,4173.471782193093,59339,tab:red
5,5,67200,5589,718,12.85,4.55,5.0,86.2,99.08,6029.208501975138,8769.921775564098,59418,tab:red
6,6,67200,5228,536,10.25,4.71,5.0,85.73,98.48,5191.757000178531,6811.690562853095,59707,tab:red
7,7,67200,5231,627,11.99,4.74,5.0,86.7,99.36,5409.440686546075,7897.228623476183,59867,tab:red
8,8,67200,5244,457,8.71,4.72,5.0,84.59,97.32,5559.197581256436,7484.664461957695,59772,tab:red
9,9,67200,4608,498,10.81,4.65,5.0,86.39,99.36,4608.517458951995,6702.834438058403,60705,tab:red
10,10,67200,4868,595,12.22,4.62,5.0,84.51,98.89,4311.553091522015,6460.278699738546,60214,tab:red
11,11,67200,5042,477,9.46,4.6,5.0,87.77,100.0,5518.700384216122,7322.183044537898,60073,tab:red
12,12,67200,4837,397,8.21,4.54,5.0,88.71,99.32,4719.38747381812,6211.744280151602,60177,tab:red
13,13,67200,4727,521,11.02,4.61,5.0,86.55,99.77,4193.460648379614,6170.159134426261,60487,tab:red
14,14,67200,5826,649,11.14,4.62,5.0,86.52,97.98,5698.641061852993,8156.586097461766,58984,tab:red
15,15,67200,4906,418,8.52,4.51,5.0,88.46,99.93,4971.394481251234,6866.592466569952,60141,tab:red
16,16,67200,5123,412,8.04,4.59,5.0,88.17,99.36,5122.398269265117,6763.667387060984,59825,tab:red
17,17,67200,4948,475,9.6,4.51,5.0,87.55,99.37,4876.405968690819,6822.087337426008,60078,tab:red
18,18,67200,4787,537,11.22,4.51,5.0,90.84,100.0,3788.878785971286,4956.595361447029,59970,tab:red
19,19,65856,4989,391,7.84,4.47,5.0,90.92,100.0,4055.0541848448524,4930.822835433872,58480,tab:red
20,20,67200,4518,343,7.59,4.65,5.0,87.53,98.78,4475.991041505928,5842.929788997133,60711,tab:red
21,21,67200,4752,520,10.94,4.66,5.0,86.69,98.92,4563.482393265227,6885.312424695056,60471,tab:red
22,22,67200,5072,533,10.51,4.64,5.0,87.14,99.71,4783.424748538148,6747.0240952958275,60001,tab:red
23,23,67200,4121,279,6.77,4.47,5.0,91.66,100.0,3695.5479477714775,4940.526231244274,61097,tab:red
24,24,67200,5354,814,15.2,4.73,5.0,83.45,99.42,6028.07296984687,9491.638379712565,59895,tab:red
25,25,67200,5393,743,13.78,4.63,5.0,86.42,98.86,5183.720700320002,7740.804036664118,59555,tab:red
26,26,67200,6278,969,15.43,4.75,5.0,83.87,98.8,6644.537957721816,9194.83082843429,58342,tab:red
27,27,67200,4760,625,13.13,4.69,5.0,85.28,97.99,4464.1417632889925,7029.135270273679,60416,tab:red
28,28,67200,5070,541,10.67,4.58,5.0,85.23,98.62,5199.6958207239195,7286.690751730103,60008,tab:red
29,29,67200,5717,589,10.3,4.6,5.0,88.21,98.62,4985.719640717728,6952.159486356909,58995,tab:red
