,id,total_timestamps,driving,timestamps_no_capa,percentage,average priority,median priority,average soc,median soc,recharge sum,consumption sum,time plugged in,color
0,0,201600,15347,1269,8.27,4.53,5.0,91.56,100.0,15331.392822587213,20405.42077416298,179630,tab:blue
1,1,201600,15776,1255,7.96,4.55,5.0,91.09,100.0,15998.379337682316,21363.43462601148,179001,tab:blue
2,2,201600,15488,1461,9.43,4.54,5.0,90.22,100.0,16659.766287894527,22705.224412222153,179669,tab:blue
3,3,201600,14873,1686,11.34,4.57,5.0,90.92,100.0,13885.210167637484,19508.181685547544,180341,tab:blue
4,4,200256,14268,832,5.83,4.42,5.0,93.03,100.0,12318.472106347243,15825.637292378387,179186,tab:blue
5,5,201600,15019,1147,7.64,4.54,5.0,90.6,100.0,16209.774906637776,21544.183298304673,180300,tab:blue
6,6,201600,14785,1689,11.42,4.54,5.0,90.77,100.0,15039.906081529338,21773.380352754943,180453,tab:blue
7,7,201600,15052,1337,8.88,4.57,5.0,90.46,100.0,15913.926668426368,20880.76778760492,180169,tab:blue
8,8,201600,15808,1001,6.33,4.48,5.0,92.83,100.0,15831.298474803429,20044.191455863627,179035,tab:blue
9,9,200256,14929,1310,8.77,4.48,5.0,91.18,100.0,12769.903347325204,17649.727486545555,178407,tab:blue
10,10,201600,16049,1725,10.75,4.57,5.0,89.55,100.0,16351.04726927467,22109.85437228813,178979,tab:blue
11,11,201600,14978,1166,7.78,4.53,5.0,90.99,100.0,15610.060445729154,20378.706749862027,180142,tab:blue
12,12,201600,14701,1569,10.67,4.55,5.0,91.34,100.0,15815.393772976704,21838.025247776197,180845,tab:blue
13,13,201600,15908,1582,9.94,4.54,5.0,90.5,100.0,16075.020159321177,22693.56066358353,178893,tab:blue
14,14,201600,15444,858,5.56,4.5,5.0,93.01,100.0,13952.86606953213,17607.599800490836,179013,tab:blue
15,15,200256,13837,1279,9.24,4.49,5.0,91.27,100.0,13938.008262030595,18843.407165419798,180335,tab:blue
16,16,201600,16044,1789,11.15,4.56,5.0,90.12,100.0,16198.85736979128,21759.153513705434,178904,tab:blue
17,17,201600,15460,1382,8.94,4.6,5.0,90.02,100.0,15842.96059211065,22271.319574276604,179386,tab:blue
18,18,201600,15901,1225,7.7,4.47,5.0,91.92,100.0,15470.706078224692,20705.89953140074,178886,tab:blue
19,19,200256,13796,685,4.97,4.41,5.0,94.24,100.0,12151.946783093867,15293.550134861489,179870,tab:blue
20,20,201600,15949,1664,10.43,4.58,5.0,89.61,100.0,16759.269072936888,23593.8679274342,179008,tab:blue
21,21,201600,15541,1470,9.46,4.57,5.0,89.62,100.0,16758.185908012667,23080.31865447766,179634,tab:blue
22,22,201600,15447,1818,11.77,4.59,5.0,89.54,100.0,14404.298666407365,20745.559008806682,179353,tab:blue
23,23,201600,14868,1655,11.13,4.59,5.0,90.23,100.0,15302.819257437699,21770.662586223567,180703,tab:blue
24,24,200256,15020,1043,6.94,4.43,5.0,92.77,100.0,14230.09855044737,18261.945408504846,178519,tab:blue
25,25,201600,15272,1546,10.12,4.56,5.0,90.35,100.0,16543.252534633455,22737.547113571105,179981,tab:blue
26,26,201600,16273,1640,10.08,4.55,5.0,90.37,100.0,15887.57177687392,21444.615774611284,178340,tab:blue
27,27,201600,15827,1478,9.34,4.57,5.0,89.59,100.0,16593.241110387076,22777.978970008775,179161,tab:blue
28,28,201600,13841,830,6.0,4.45,5.0,93.83,100.0,12663.484003190279,16196.700600277029,181430,tab:blue
29,29,200256,15455,1501,9.71,4.52,5.0,91.34,100.0,14953.711036221977,20893.005382688625,178019,tab:blue
