,id,total_timestamps,driving,timestamps_no_capa,percentage,average priority,median priority,average soc,median soc,recharge sum,consumption sum,time plugged in,color
0,0,201600,15386,1643,10.68,4.58,5.0,89.25,100.0,15555.204869793646,22355.759591038044,179844,tab:red
1,1,201600,15074,1188,7.88,4.5,5.0,91.41,100.0,15306.477013393443,20094.10033551562,180118,tab:red
2,2,201600,16013,1415,8.84,4.55,5.0,90.24,100.0,17224.919389474355,23369.837237688625,178932,tab:red
3,3,201600,15777,1696,10.75,4.56,5.0,89.95,100.0,15805.38085143734,22530.19180758818,179188,tab:red
4,4,200256,13651,526,3.85,4.42,5.0,94.61,100.0,11816.821496047196,14200.262073139344,180025,tab:red
5,5,201600,15358,1274,8.3,4.58,5.0,90.7,100.0,15793.7317937395,21012.499225640702,179707,tab:red
6,6,201600,16140,1413,8.75,4.56,5.0,90.09,100.0,16794.295987295278,22706.457801930632,178605,tab:red
7,7,201600,15163,1366,9.01,4.5,5.0,91.13,100.0,15335.17996762984,20645.339766025572,179938,tab:red
8,8,201600,15637,1487,9.51,4.51,5.0,90.93,100.0,15798.815132907997,22172.15609815145,179316,tab:red
9,9,200256,14273,1051,7.36,4.5,5.0,93.29,100.0,12008.020195576833,16103.302841528266,179356,tab:red
10,10,201600,15347,1561,10.17,4.52,5.0,91.95,100.0,15191.574813480996,19684.391890476934,179712,tab:red
11,11,201600,15093,1557,10.32,4.57,5.0,90.9,100.0,15553.905989713125,21404.04000647049,180184,tab:red
12,12,201600,14623,1595,10.91,4.59,5.0,89.13,100.0,15691.195055831164,22531.663382204857,180976,tab:red
13,13,201600,16032,1548,9.66,4.58,5.0,89.85,100.0,16717.730319083872,23230.50653327949,178747,tab:red
14,14,201600,15208,897,5.9,4.44,5.0,92.34,100.0,14723.52537290315,18565.766183669417,179646,tab:red
15,15,200256,14403,884,6.14,4.47,5.0,92.85,100.0,13461.656354799306,17507.989622257373,179261,tab:red
16,16,201600,14861,1415,9.52,4.56,5.0,91.73,100.0,15692.608226212102,21138.16338044811,180782,tab:red
17,17,201600,15520,1608,10.36,4.57,5.0,90.22,100.0,14637.047966356706,20396.901105786066,179214,tab:red
18,18,201600,15772,1856,11.77,4.55,5.0,89.29,100.0,16605.231680629076,23828.302928800043,179221,tab:red
19,19,200256,14396,787,5.47,4.42,5.0,93.34,100.0,12266.28735060441,15491.17962467757,178994,tab:red
20,20,201600,16297,1874,11.5,4.57,5.0,89.94,100.0,16101.78950476584,22495.20109735305,178504,tab:red
21,21,201600,15750,1315,8.35,4.57,5.0,89.84,100.0,17328.53167586467,22915.89151356607,179417,tab:red
22,22,201600,15218,1247,8.19,4.53,5.0,90.94,100.0,16462.336559747942,22021.621959969616,179890,tab:red
23,23,201600,16005,1376,8.6,4.5,5.0,91.56,100.0,15308.667674826434,20123.915323512356,178622,tab:red
24,24,200256,14296,747,5.23,4.4,5.0,93.74,100.0,12825.785723438335,15842.415562618598,179245,tab:red
25,25,201600,15805,1639,10.37,4.58,5.0,89.36,100.0,16827.548657805244,23282.992929609216,179397,tab:red
26,26,201600,15694,1555,9.91,4.57,5.0,90.87,100.0,15734.998574372281,22022.116884536874,179265,tab:red
27,27,201600,14724,1441,9.79,4.53,5.0,91.65,100.0,14513.93376404539,19087.29130727296,180489,tab:red
28,28,201600,15122,1175,7.77,4.51,5.0,91.3,100.0,14516.649969346212,19707.63724572096,179673,tab:red
29,29,200256,14875,1352,9.09,4.52,5.0,91.54,100.0,13354.063074309308,18972.438120195588,178603,tab:red
