,id,total_timestamps,driving,timestamps_no_capa,percentage,average priority,median priority,average soc,median soc,recharge sum,consumption sum,time plugged in,color
0,0,67200,5190,519,10.0,4.56,5.0,85.13,96.46,5410.9784358223005,7099.025666620608,59916,tab:blue
1,1,67200,5636,525,9.32,4.56,5.0,85.31,97.0,5467.214943429461,7133.13693804124,59159,tab:blue
2,2,67200,4585,270,5.89,4.4,5.0,90.79,98.9,4551.676987172572,5507.148817313588,60603,tab:blue
3,3,67200,4926,261,5.3,4.46,5.0,89.61,99.04,3864.392539806405,5118.842875696871,59952,tab:blue
4,4,65856,4667,267,5.72,4.37,5.0,93.63,99.79,3545.8166868266535,4512.102973608568,58838,tab:blue
5,5,67200,5193,544,10.48,4.71,5.0,83.96,96.71,5392.371453182193,7526.748035205833,59803,tab:blue
6,6,67200,5247,733,13.97,4.63,5.0,86.44,97.29,5396.9564327776025,8392.026406692974,59882,tab:blue
7,7,67200,5226,473,9.05,4.58,5.0,87.33,97.8,4867.759704504133,6993.509699680495,59697,tab:blue
8,8,67200,5134,640,12.47,4.64,5.0,83.76,97.25,5124.008346384403,7539.034905320272,59941,tab:blue
9,9,67200,5054,411,8.13,4.61,5.0,84.4,96.1,5458.349879830946,7146.071789418471,59949,tab:blue
10,10,67200,5058,566,11.19,4.72,5.0,84.64,97.35,5495.146268023802,7803.162226072919,60115,tab:blue
11,11,67200,4441,350,7.88,4.7,5.0,84.56,97.43,4760.872154677065,6419.280517557963,60892,tab:blue
12,12,67200,5020,412,8.21,4.62,5.0,86.64,96.67,5068.197559313203,6746.16250664092,59993,tab:blue
13,13,67200,4920,594,12.07,4.66,5.0,85.09,97.4,5262.912773005264,7521.208305925469,60260,tab:blue
14,14,67200,4472,424,9.48,4.54,5.0,89.14,99.61,4433.046049917767,6017.7687160496,60812,tab:blue
15,15,67200,5379,583,10.84,4.59,5.0,86.7,97.02,5122.679831152175,7078.415531591537,59485,tab:blue
16,16,67200,5507,331,6.01,4.64,5.0,86.46,97.24,5293.868395930542,6606.626838319246,59363,tab:blue
17,17,67200,5145,737,14.32,4.61,5.0,85.75,98.43,4247.908155870558,5829.362007613119,59630,tab:blue
18,18,67200,5079,454,8.94,4.56,5.0,87.04,98.88,4044.1322551586827,5494.135631775387,59759,tab:blue
19,19,65856,4477,254,5.67,4.34,5.0,92.13,99.31,3352.419383779802,4310.640861319249,59136,tab:blue
20,20,67200,5133,656,12.78,4.67,5.0,84.73,96.76,5095.964580005371,7128.356717242059,59933,tab:blue
21,21,67200,5340,401,7.51,4.56,5.0,86.15,96.13,5466.054752856653,7297.314966975735,59606,tab:blue
22,22,67200,5225,695,13.3,4.58,5.0,86.37,97.49,5331.921989134369,8136.393674764377,59731,tab:blue
23,23,67200,4994,719,14.4,4.72,5.0,86.01,98.52,4652.892954020426,7139.158238763204,60103,tab:blue
24,24,67200,5355,377,7.04,4.61,5.0,85.68,95.82,5700.373492181199,7288.175804025791,59453,tab:blue
25,25,67200,4777,352,7.37,4.67,5.0,84.52,96.44,4674.595346064312,6246.439199769699,60360,tab:blue
26,26,67200,5039,808,16.03,4.76,5.0,82.46,96.67,4960.981504468019,7245.193709797727,60057,tab:blue
27,27,67200,5552,812,14.63,4.64,5.0,84.4,97.14,5032.87326525712,7713.773605906981,59304,tab:blue
28,28,67200,5248,612,11.66,4.74,5.0,84.96,97.69,5768.274435345865,8149.01640670586,59853,tab:blue
29,29,67200,5276,583,11.05,4.68,5.0,85.6,97.4,4811.417367099064,7297.185033053016,59604,tab:blue
