,id,total_timestamps,driving,timestamps_no_capa,percentage,average priority,median priority,average soc,median soc,recharge sum,consumption sum,time plugged in,color
0,0,403200,30971,3337,10.77,4.74,5.0,79.3,89.45,30071.395706512587,45233.67810761419,359145,tab:blue
1,1,403200,29981,3536,11.79,4.71,5.0,81.33,93.0,28853.239730156114,43950.60302204736,360690,tab:blue
2,2,401856,30352,2192,7.22,4.56,5.0,85.92,95.43,28527.116153911626,38681.206146702265,357887,tab:blue
3,3,403200,31511,4214,13.37,4.78,5.0,78.95,91.33,29557.29147240182,44915.591246291246,358663,tab:blue
4,4,401856,28973,2076,7.17,4.5,5.0,88.78,97.9,26065.682561599977,34330.982360439935,359447,tab:blue
5,5,403200,31167,3668,11.77,4.76,5.0,78.96,89.81,29706.420080701966,45550.029132002346,358964,tab:blue
6,6,403200,31210,3018,9.67,4.66,5.0,83.3,93.71,29143.295020693993,40431.2091212399,358524,tab:blue
7,7,401856,28390,2752,9.69,4.63,5.0,85.16,96.97,26582.40695680094,37776.77956877942,360945,tab:blue
8,8,403200,31011,3488,11.25,4.73,5.0,80.88,91.38,30082.68869557229,44974.55706166094,359171,tab:blue
9,9,401856,30529,2659,8.71,4.56,5.0,87.13,97.07,27379.130501583317,36222.32478585667,357681,tab:blue
10,10,403200,30747,3764,12.24,4.75,5.0,79.19,90.52,29387.230416067207,44672.74948240103,359344,tab:blue
11,11,403200,29514,2900,9.83,4.65,5.0,84.14,94.93,28605.037436067032,40127.93240460644,361146,tab:blue
12,12,401856,29679,2464,8.3,4.57,5.0,86.7,97.28,26327.45674982757,35386.97123293611,358846,tab:blue
13,13,403200,31006,3401,10.97,4.71,5.0,80.61,91.47,29299.371461312112,44021.04342622798,358965,tab:blue
14,14,403200,30136,3298,10.94,4.71,5.0,82.41,93.54,29064.803371382342,41466.493048241486,360376,tab:blue
15,15,401856,30396,2840,9.34,4.59,5.0,85.57,96.58,27180.15177672092,38084.00895548328,357769,tab:blue
16,16,403200,31387,3763,11.99,4.72,5.0,80.47,91.71,29937.03267249362,43615.54423935569,358575,tab:blue
17,17,401856,28613,2320,8.11,4.58,5.0,86.85,97.31,25895.136153253312,34650.01961471225,360221,tab:blue
18,18,403200,31216,4016,12.87,4.8,5.0,78.0,88.99,30070.073327024125,47266.21854725195,359072,tab:blue
19,19,401856,29979,2426,8.09,4.53,5.0,87.89,97.66,27177.943653648086,35911.29255360382,358497,tab:blue
20,20,403200,31049,3386,10.91,4.74,5.0,79.18,89.95,29857.2730478095,44833.55084780776,359083,tab:blue
21,21,403200,29362,2852,9.71,4.64,5.0,84.89,95.21,28804.467011590677,40431.50419451659,361325,tab:blue
22,22,401856,31764,3158,9.94,4.62,5.0,85.06,96.47,27437.0921154482,38078.00413178345,355879,tab:blue
23,23,403200,30999,3471,11.2,4.73,5.0,80.58,91.33,29561.020875402282,44195.72908904725,359386,tab:blue
24,24,401856,28735,2385,8.3,4.54,5.0,87.59,97.55,27178.061979790367,37088.17738140499,360256,tab:blue
25,25,403200,30984,3417,11.03,4.77,5.0,78.59,89.36,29829.83881194266,43567.216763550736,358980,tab:blue
26,26,401856,29766,2420,8.13,4.54,5.0,87.18,97.3,26765.055255063897,36723.88250686939,358683,tab:blue
27,27,403200,30051,3155,10.5,4.74,5.0,80.43,90.48,29797.57957555269,43523.74088492108,360605,tab:blue
28,28,403200,30943,3147,10.17,4.67,5.0,82.23,93.44,28919.798023582447,42285.13342766253,358990,tab:blue
29,29,401856,30922,3120,10.09,4.62,5.0,85.72,96.88,27467.576395650052,37327.363296812015,357193,tab:blue
