,id,total_timestamps,driving,timestamps_no_capa,percentage,average priority,median priority,average soc,median soc,recharge sum,consumption sum,time plugged in,color
0,0,33600,2672,427,15.98,4.64,5.0,84.18,98.51,2752.220096795172,4211.387282193663,29871,tab:red
1,1,33600,2487,375,15.08,4.6,5.0,87.04,99.88,2849.2298309779917,4360.220446085574,30003,tab:red
2,2,33600,2989,483,16.16,4.66,5.0,85.65,98.3,2627.643635216773,4220.128199430559,29364,tab:red
3,3,33600,2647,261,9.86,4.63,5.0,84.82,98.05,2837.432962302281,3797.6910037073562,29818,tab:red
4,4,33600,2564,244,9.52,4.51,5.0,89.03,100.0,2413.9175242224283,3183.5171535865966,29908,tab:red
5,5,33600,2670,257,9.63,4.65,5.0,85.83,98.39,2209.8462690926935,3362.908940906562,29722,tab:red
6,6,33600,2259,138,6.11,4.66,5.0,87.86,98.53,2288.9371154097275,2898.0987314008844,30396,tab:red
7,7,33600,2156,194,9.0,4.77,5.0,83.05,98.34,2214.7649983716,3231.2787015500517,30518,tab:red
8,8,33600,2436,417,17.12,4.62,5.0,84.88,99.8,2377.770604532225,3864.520411218352,30112,tab:red
9,9,33600,2890,160,5.54,4.54,5.0,89.5,99.92,2761.919147087214,3439.483573197146,29491,tab:red
10,10,33600,2740,431,15.73,4.76,5.0,83.48,97.87,2597.549131969921,4400.808963821268,29755,tab:red
11,11,33600,2763,268,9.7,4.47,5.0,89.88,98.19,2352.4336671016617,3421.443762809514,29583,tab:red
12,12,33600,2185,92,4.21,4.6,5.0,89.4,100.0,2353.6017332217825,2878.3650658300157,30425,tab:red
13,13,33600,2921,342,11.71,4.72,5.0,88.35,98.88,2868.533824965766,4180.891481319475,29518,tab:red
14,14,33600,2722,420,15.43,4.62,5.0,85.26,98.42,2652.5614548745157,3735.538308117518,29819,tab:red
15,15,33600,2032,164,8.07,4.51,5.0,88.32,99.11,1833.285301997398,2551.6312099847923,30586,tab:red
16,16,33600,1902,86,4.52,4.56,5.0,89.24,100.0,2224.531435205877,2685.703275071688,30822,tab:red
17,17,33600,2498,151,6.04,4.44,5.0,89.42,100.0,1771.2005342011832,2213.3323484968187,29975,tab:red
18,18,33600,2650,162,6.11,4.32,5.0,92.79,99.85,1844.3288498155955,2571.5531861473514,29589,tab:red
19,19,32256,1677,69,4.11,4.38,5.0,92.37,100.0,1391.3837269492362,1670.8326170473697,29717,tab:red
20,20,33600,2323,245,10.55,4.59,5.0,86.15,99.11,2204.3241762597427,3114.7892656592726,30332,tab:red
21,21,33600,2741,436,15.91,4.76,5.0,85.24,99.8,2956.177543476232,4590.242284474031,29775,tab:red
22,22,33600,2454,244,9.94,4.58,5.0,91.63,100.0,2604.8148131868966,3380.6492353477915,30083,tab:red
23,23,33600,2544,209,8.22,4.49,5.0,87.35,98.63,2570.9749040990773,3512.9410577841786,30008,tab:red
24,24,33600,2394,75,3.13,4.55,5.0,88.9,98.81,2287.143700696956,2607.110749035581,30119,tab:red
25,25,33600,2759,205,7.43,4.66,5.0,85.16,100.0,3247.3912210000135,3984.2862021228875,29702,tab:red
26,26,33600,2619,195,7.45,4.66,5.0,86.2,99.77,3076.729943240069,3848.8315368415597,29957,tab:red
27,27,33600,2798,436,15.58,4.82,5.0,84.53,97.95,2212.804422848704,3703.5245787742588,29586,tab:red
28,28,33600,3028,558,18.43,4.84,5.0,80.26,97.9,2826.8594168736236,4186.308941882971,29268,tab:red
29,29,33600,2455,119,4.85,4.44,5.0,90.32,98.08,2402.515400302926,2901.8864979137056,30110,tab:red
