,id,total_timestamps,driving,timestamps_no_capa,percentage,average priority,median priority,average soc,median soc,recharge sum,consumption sum,time plugged in,color
0,0,201600,14914,1579,10.59,4.67,5.0,85.4,97.91,14939.817876498502,21323.03105617554,180402,tab:blue
1,1,201600,15297,1667,10.9,4.69,5.0,84.98,97.88,15762.291495484953,22209.682325968137,180015,tab:blue
2,2,201600,15015,1528,10.18,4.62,5.0,86.0,98.11,15134.369165749999,21087.974509088028,180091,tab:blue
3,3,201600,15444,1655,10.72,4.6,5.0,85.57,97.35,14849.556564907536,20789.941462309038,179570,tab:blue
4,4,200256,14175,857,6.05,4.49,5.0,90.34,99.05,12266.057977368253,15807.58278354564,179361,tab:blue
5,5,201600,14982,1705,11.38,4.65,5.0,85.67,97.88,14440.638641876902,21421.521830587386,180187,tab:blue
6,6,201600,15172,1302,8.58,4.65,5.0,85.56,97.22,16265.022568475839,21817.07063297851,180049,tab:blue
7,7,201600,14931,1638,10.97,4.57,5.0,88.14,98.66,14590.863273229113,20171.894516415476,180248,tab:blue
8,8,201600,15956,1523,9.54,4.6,5.0,85.45,97.72,16288.865725217156,21852.938920379147,178890,tab:blue
9,9,200256,15300,1320,8.63,4.52,5.0,88.57,98.69,12213.13512746037,16953.24950180763,177868,tab:blue
10,10,201600,14959,1600,10.7,4.7,5.0,86.13,98.75,15237.923249503303,21611.99150549112,180326,tab:blue
11,11,201600,15267,1500,9.83,4.68,5.0,84.93,97.59,15980.14545060466,22194.56451762376,179841,tab:blue
12,12,201600,15335,1583,10.32,4.62,5.0,86.44,97.64,15731.713484985205,21869.15200369529,179931,tab:blue
13,13,201600,16418,2129,12.97,4.61,5.0,84.21,97.14,16103.627207734218,22850.803417776322,178325,tab:blue
14,14,201600,14114,872,6.18,4.48,5.0,89.85,98.91,13369.31227569463,16855.548611919414,181028,tab:blue
15,15,200256,14545,1413,9.71,4.56,5.0,87.85,98.94,12910.29982012965,18641.584004385004,179068,tab:blue
16,16,201600,14406,1434,9.95,4.63,5.0,87.06,98.54,15293.547205552772,21035.626010985092,181083,tab:blue
17,17,201600,15604,2074,13.29,4.72,5.0,83.42,96.7,15572.171385087258,22348.831946091108,179532,tab:blue
18,18,201600,16559,1417,8.56,4.56,5.0,87.01,97.79,16313.99903219721,22027.27561016728,177878,tab:blue
19,19,200256,14452,940,6.5,4.44,5.0,90.18,99.22,12276.749244410612,15557.13187219771,179062,tab:blue
20,20,201600,15291,1557,10.18,4.68,5.0,84.9,97.18,15091.02081391292,21024.27892954195,179723,tab:blue
21,21,201600,15566,1571,10.09,4.63,5.0,85.45,97.39,15874.964416401466,22093.671726208515,179430,tab:blue
22,22,201600,15340,2075,13.53,4.6,5.0,86.69,98.4,15265.944216105254,21686.068855045894,179950,tab:blue
23,23,201600,15833,1748,11.04,4.62,5.0,85.22,97.78,14554.974605064235,20600.354717143826,178833,tab:blue
24,24,200256,14128,891,6.31,4.45,5.0,91.48,99.43,12017.031970343347,15478.948751759512,179541,tab:blue
25,25,201600,15503,1428,9.21,4.64,5.0,85.76,97.27,15383.581936893552,20771.992020482754,179431,tab:blue
26,26,201600,16234,2208,13.6,4.7,5.0,83.76,97.29,17302.553127084804,24822.961308528487,178931,tab:blue
27,27,201600,15722,1694,10.77,4.64,5.0,85.74,97.38,15148.346356037457,21321.68975181606,179106,tab:blue
28,28,201600,14246,817,5.73,4.45,5.0,89.64,98.84,13260.81556097726,16812.128865141156,180751,tab:blue
29,29,200256,15615,1742,11.16,4.55,5.0,87.98,98.99,14264.851788626727,20107.699460248634,177652,tab:blue
