,id,total_timestamps,driving,timestamps_no_capa,percentage,average priority,median priority,average soc,median soc,recharge sum,consumption sum,time plugged in,color
0,0,33600,2501,368,14.71,4.98,5.0,74.11,94.16,2624.892598779805,4126.7383549443575,30076,tab:blue
1,1,33600,2570,234,9.11,4.62,5.0,86.89,97.11,2656.9813253112748,3422.826821557351,29946,tab:blue
2,2,33600,2697,291,10.79,4.58,5.0,86.14,96.71,2589.181202167372,3675.9898554263737,29720,tab:blue
3,3,33600,2425,298,12.29,4.69,5.0,84.58,97.4,2455.635244973907,3638.134114083645,30197,tab:blue
4,4,33600,2566,248,9.66,4.55,5.0,85.67,96.11,2463.9940449506553,3409.196506887822,29888,tab:blue
5,5,33600,2648,275,10.39,4.58,5.0,85.66,97.57,2514.1566897999223,3571.5237057153413,29812,tab:blue
6,6,33600,2080,60,2.88,4.53,5.0,87.96,98.35,2197.4524414372795,2584.6166689714187,30685,tab:blue
7,7,33600,2703,448,16.57,4.72,5.0,80.87,96.22,2633.9402129454497,4628.099984381984,29725,tab:blue
8,8,33600,2682,226,8.43,4.7,5.0,84.99,94.52,2711.3288669160524,3679.027495208474,29781,tab:blue
9,9,33600,2888,363,12.57,4.75,5.0,80.87,94.88,2781.1796229522565,4022.8222660092624,29494,tab:blue
10,10,33600,2430,209,8.6,4.61,5.0,86.31,98.03,2546.099116736786,3460.2345234106892,30133,tab:blue
11,11,33600,2179,156,7.16,4.52,5.0,92.65,100.0,2281.491278094937,3021.1228728128353,30520,tab:blue
12,12,33600,2622,251,9.57,4.6,5.0,82.49,93.52,2851.1492775845154,3938.2020965025818,29879,tab:blue
13,13,33600,2399,102,4.25,4.57,5.0,88.78,97.53,2421.379133968423,2829.6001893393955,30049,tab:blue
14,14,33600,2493,116,4.65,4.61,5.0,86.44,97.42,2211.939409358779,2637.8495119723784,29993,tab:blue
15,15,33600,1973,164,8.31,4.64,5.0,85.93,98.5,1730.0180591957221,2509.3389058848684,30747,tab:blue
16,16,33600,2293,53,2.31,4.46,5.0,91.59,98.99,1945.7228829076448,2253.147163867652,30191,tab:blue
17,17,33600,2346,117,4.99,4.46,5.0,90.29,99.31,1955.9106836773751,2365.1897278304546,30106,tab:blue
18,18,33600,2237,65,2.91,4.22,5.0,94.99,99.94,1472.826784483995,1729.2562899528725,30151,tab:blue
19,19,32256,3221,318,9.87,4.72,5.0,86.7,99.03,2287.75077458902,3281.1024090404535,27441,tab:blue
20,20,33600,3018,311,10.3,4.71,5.0,82.62,92.83,3208.354370526018,4413.128522924637,29425,tab:blue
21,21,33600,2625,275,10.48,4.75,5.0,83.74,96.33,2338.8109534810355,3293.5923543681647,29799,tab:blue
22,22,33600,2230,253,11.35,4.53,5.0,89.88,98.8,2293.1947323354757,3215.1022843440323,30356,tab:blue
23,23,33600,2597,232,8.93,4.65,5.0,86.84,97.4,2594.768182754855,3292.2254759995376,29927,tab:blue
24,24,33600,2924,281,9.61,4.53,5.0,86.1,95.36,2874.6702532049603,3921.7340694340105,29505,tab:blue
25,25,33600,2529,417,16.49,4.56,5.0,85.84,98.89,2388.1593028380094,4162.0188994903965,30094,tab:blue
26,26,33600,2590,208,8.03,4.51,5.0,85.58,94.98,2700.379028032727,3726.7185057870806,29949,tab:blue
27,27,33600,2523,348,13.79,4.68,5.0,84.9,99.32,2390.433688202933,3352.3175924857455,30025,tab:blue
28,28,33600,2894,442,15.27,4.74,5.0,79.99,93.88,3143.6206180177232,4523.205401395804,29637,tab:blue
29,29,33600,2671,206,7.71,4.73,5.0,82.1,93.57,2955.9217809913703,4027.5317688886735,29798,tab:blue
