,id,total_timestamps,driving,timestamps_no_capa,percentage,average priority,median priority,average soc,median soc,recharge sum,consumption sum,time plugged in,color
0,0,33600,2969,240,8.08,4.61,5.0,88.03,100.0,3293.4425139243262,4439.898806071089,29398,tab:blue
1,1,33600,2481,109,4.39,4.56,5.0,92.77,100.0,2697.035127517234,3210.1759983352836,30138,tab:blue
2,2,33600,2040,239,11.72,4.83,5.0,81.7,100.0,2562.1369165670576,3836.5240355180517,30798,tab:blue
3,3,33600,3033,242,7.98,4.48,5.0,91.42,100.0,3331.0449900800086,4612.207706448668,29336,tab:blue
4,4,33600,2258,173,7.66,4.61,5.0,88.65,100.0,2510.2929138542963,3573.309790939473,30374,tab:blue
5,5,33600,2436,331,13.59,4.71,5.0,86.34,100.0,2571.768134245692,4110.042237940776,30177,tab:blue
6,6,33600,2685,121,4.51,4.53,5.0,92.69,100.0,3482.2219352270513,4126.675431730114,29790,tab:blue
7,7,33600,2671,230,8.61,4.63,5.0,90.63,100.0,2880.663457609871,3637.0390233087137,29789,tab:blue
8,8,33600,2798,272,9.72,4.74,5.0,87.45,100.0,3342.976305261636,4117.754130004537,29729,tab:blue
9,9,33600,3299,435,13.19,4.44,5.0,92.85,100.0,3065.0502660761995,3579.148301712588,28809,tab:blue
10,10,33600,2985,263,8.81,4.58,5.0,89.59,100.0,3025.6594590411214,4047.472569984281,29270,tab:blue
11,11,33600,2447,239,9.77,4.59,5.0,92.15,100.0,2216.625854352026,3128.8055674228,30040,tab:blue
12,12,33600,2199,117,5.32,4.23,4.0,95.53,100.0,1973.2514664526268,2432.2299531496346,30406,tab:blue
13,13,33600,2993,186,6.21,4.49,5.0,93.2,100.0,2700.5079810714274,3354.6541318107516,29256,tab:blue
14,14,33600,2428,186,7.66,4.65,5.0,89.14,100.0,2577.433765890946,3489.011455971956,30111,tab:blue
15,15,33600,2030,95,4.68,4.3,5.0,95.13,100.0,1694.7464621063689,2014.360027954659,30575,tab:blue
16,16,33600,2208,80,3.62,4.47,5.0,94.48,100.0,1997.120507236738,2390.4380083971537,30328,tab:blue
17,17,33600,2576,132,5.12,4.39,5.0,93.88,100.0,1986.3593165571654,2698.958824699715,29719,tab:blue
18,18,33600,2040,21,1.03,4.25,5.0,96.44,100.0,1507.4631317283265,1684.4730684028755,30476,tab:blue
19,19,32256,2046,176,8.6,4.33,5.0,94.58,100.0,1627.5520565864151,1956.8444864397065,29193,tab:blue
20,20,33600,2699,247,9.15,4.48,5.0,90.4,100.0,3097.650727524108,3885.9294701476424,29776,tab:blue
21,21,33600,2666,145,5.44,4.49,5.0,92.01,100.0,2767.7307224650644,3384.0677812006197,29803,tab:blue
22,22,33600,1896,113,5.96,4.39,5.0,93.97,100.0,2109.197875034712,2605.1756819298157,30873,tab:blue
23,23,33600,2597,356,13.71,4.5,5.0,90.59,100.0,2386.288661478362,3820.3578798965077,29961,tab:blue
24,24,33600,2511,329,13.1,4.64,5.0,88.28,100.0,2448.1731823901578,3611.1460231760507,30021,tab:blue
25,25,33600,2884,431,14.94,4.48,5.0,90.23,100.0,3059.543694538412,4789.195296565549,29584,tab:blue
26,26,33600,2372,322,13.58,4.62,5.0,89.81,100.0,1970.7791013141764,3166.693476012898,30181,tab:blue
27,27,33600,2604,261,10.02,4.61,5.0,90.01,100.0,2024.9936188308625,3280.1062104968128,29822,tab:blue
28,28,33600,2991,399,13.34,4.5,5.0,88.92,100.0,2965.147872172555,4118.362625788297,29536,tab:blue
29,29,33600,2434,232,9.53,4.5,5.0,92.77,100.0,2231.6708996273373,3173.812711516733,30135,tab:blue
