,id,total_timestamps,driving,timestamps_no_capa,percentage,average priority,median priority,average soc,median soc,recharge sum,consumption sum,time plugged in,color
0,0,403200,30388,3327,10.95,4.6,5.0,89.75,100.0,30948.90424061225,42598.60245149152,359926,tab:blue
1,1,403200,29692,3164,10.66,4.53,5.0,90.88,100.0,30330.558803240907,42317.47599697281,360940,tab:blue
2,2,401856,29596,2035,6.88,4.49,5.0,92.53,100.0,28454.559519227056,36638.32500118882,359201,tab:blue
3,3,403200,31872,3197,10.03,4.59,5.0,89.79,100.0,31686.26763188216,43376.81550920597,357846,tab:blue
4,4,401856,29476,2254,7.65,4.45,5.0,92.45,100.0,28893.654124763372,38607.87709821336,359192,tab:blue
5,5,403200,28930,2808,9.71,4.56,5.0,91.11,100.0,29613.013276887166,40327.271022540255,361845,tab:blue
6,6,403200,31541,2851,9.04,4.54,5.0,90.46,100.0,31787.905449656075,43531.86709209495,358260,tab:blue
7,7,401856,30899,2273,7.36,4.48,5.0,92.18,100.0,29840.643816638538,38914.82668691152,357280,tab:blue
8,8,403200,30763,3505,11.39,4.61,5.0,89.25,100.0,31997.17738481902,45402.309971192706,359691,tab:blue
9,9,401856,30215,2451,8.11,4.47,5.0,92.15,100.0,28617.01974993051,38001.475838142505,358171,tab:blue
10,10,403200,29830,2775,9.3,4.56,5.0,90.5,100.0,30718.395479071103,42435.774686867204,360682,tab:blue
11,11,403200,31422,2618,8.33,4.54,5.0,91.08,100.0,31604.505796177913,43269.07148296071,358296,tab:blue
12,12,401856,30555,2367,7.75,4.48,5.0,92.02,100.0,27961.994390007432,36401.095087127345,357546,tab:blue
13,13,403200,31060,3422,11.02,4.58,5.0,89.83,100.0,31686.095173293594,44455.53095553171,359106,tab:blue
14,14,403200,30653,2345,7.65,4.51,5.0,91.36,100.0,30788.072540741763,40220.259635389426,359392,tab:blue
15,15,401856,30273,2449,8.09,4.53,5.0,91.38,100.0,29931.91196953604,40562.52868643444,358239,tab:blue
16,16,403200,30359,2706,8.91,4.5,5.0,91.23,100.0,31209.80081606381,41953.16381134465,359960,tab:blue
17,17,401856,29459,2683,9.11,4.54,5.0,91.18,100.0,26614.237007467138,36951.60191381673,359142,tab:blue
18,18,403200,30614,2849,9.31,4.53,5.0,90.97,100.0,32731.281551069747,44110.205383170454,359564,tab:blue
19,19,401856,30315,2514,8.29,4.5,5.0,91.82,100.0,27764.73322216353,36761.32999918909,358072,tab:blue
20,20,403200,30710,3431,11.17,4.6,5.0,89.41,100.0,31052.96931312078,43418.53858704238,359537,tab:blue
21,21,403200,30029,2300,7.66,4.51,5.0,92.17,100.0,29971.830600103065,40017.00785779442,360162,tab:blue
22,22,401856,30048,2032,6.76,4.45,5.0,92.39,100.0,28727.36890674799,37076.00367234409,358485,tab:blue
23,23,403200,31861,3492,10.96,4.57,5.0,89.76,100.0,31869.42362874037,44289.356281775785,358071,tab:blue
24,24,401856,28461,2202,7.74,4.49,5.0,92.43,100.0,28674.176987605486,37986.04602431592,360759,tab:blue
25,25,403200,31390,3424,10.91,4.58,5.0,89.48,100.0,31416.71592256062,44113.88136605595,358660,tab:blue
26,26,401856,29163,1885,6.46,4.45,5.0,92.93,100.0,27725.85275421613,35681.65910593248,359278,tab:blue
27,27,403200,30333,2900,9.56,4.55,5.0,90.73,100.0,30238.33391073921,40853.12083126895,359902,tab:blue
28,28,403200,31152,3046,9.78,4.57,5.0,90.12,100.0,31340.91046360523,43550.07225765523,358774,tab:blue
29,29,401856,30612,2493,8.14,4.51,5.0,90.99,100.0,29404.371258106505,39670.93369037135,357620,tab:blue
