,id,total_timestamps,driving,timestamps_no_capa,percentage,average priority,median priority,average soc,median soc,recharge sum,consumption sum,time plugged in,color
0,0,201600,15050,1831,12.17,4.66,5.0,86.03,99.75,16812.85460870122,23861.462562018434,180481,tab:red
1,1,201600,16297,1931,11.85,4.59,5.0,86.66,99.09,14810.790686959477,20811.5303912918,178286,tab:red
2,2,201600,15153,2044,13.49,4.7,5.0,84.8,99.27,16010.85014326085,23297.39315046573,180187,tab:red
3,3,201600,14528,1270,8.74,4.57,5.0,87.91,98.84,14671.918830229466,19766.564883554325,180804,tab:red
4,4,200256,15028,926,6.16,4.48,5.0,90.17,99.67,13117.509345018305,16497.61754847584,178156,tab:red
5,5,201600,15994,1484,9.28,4.62,5.0,86.74,98.7,16057.003223968426,21781.636834164543,178841,tab:red
6,6,201600,13565,1456,10.73,4.59,5.0,88.21,100.0,14294.029857529946,20014.646676777495,182293,tab:red
7,7,201600,15362,1898,12.36,4.65,5.0,86.23,99.2,14892.898212027394,22092.39333598738,179716,tab:red
8,8,201600,16599,1738,10.47,4.62,5.0,85.64,98.43,15704.75655761908,21141.679039171213,177977,tab:red
9,9,200256,14298,1106,7.74,4.55,5.0,88.72,99.48,12326.377453081872,16542.24437246111,179065,tab:red
10,10,201600,16236,1807,11.13,4.63,5.0,85.47,98.75,16020.67604762875,21625.07212746756,178590,tab:red
11,11,201600,15415,1420,9.21,4.59,5.0,87.58,99.4,14481.842950185302,19023.989896950978,179553,tab:red
12,12,201600,15192,1766,11.62,4.58,5.0,86.79,98.5,14915.239974912092,21308.8580058828,179959,tab:red
13,13,201600,15588,1581,10.14,4.6,5.0,86.34,98.81,15232.786237844022,21519.788042937773,179270,tab:red
14,14,201600,14707,1185,8.06,4.56,5.0,89.56,100.0,14447.636708274293,19483.635439286725,180451,tab:red
15,15,200256,14401,1387,9.63,4.54,5.0,89.51,100.0,13272.074215298875,18357.03114871316,179411,tab:red
16,16,201600,15455,1497,9.69,4.66,5.0,86.11,98.52,15197.505182995712,20847.721439869587,179541,tab:red
17,17,201600,16575,2147,12.95,4.64,5.0,85.0,98.7,16571.235452944056,23492.366383565546,178263,tab:red
18,18,201600,14975,1624,10.84,4.61,5.0,86.84,98.88,14791.096794567291,21390.03288024436,180100,tab:red
19,19,200256,13786,851,6.17,4.46,5.0,90.86,99.95,12009.822861207405,15417.514658347225,179998,tab:red
20,20,201600,15160,1711,11.29,4.63,5.0,85.96,98.49,15216.8693363655,21875.400619093398,180018,tab:red
21,21,201600,15565,1623,10.43,4.63,5.0,86.2,98.66,15410.796007564282,21114.94214981827,179155,tab:red
22,22,201600,15320,1689,11.02,4.61,5.0,86.33,98.87,15587.717674794758,22119.060816035195,179829,tab:red
23,23,201600,15093,1399,9.27,4.59,5.0,87.35,99.33,14066.47382382039,19679.919393168577,179849,tab:red
24,24,200256,15527,1476,9.51,4.53,5.0,89.07,99.08,13395.255300248029,18546.168128443132,177601,tab:red
25,25,201600,14685,1309,8.91,4.58,5.0,88.44,99.97,14006.43172643021,19254.34345675855,180386,tab:red
26,26,201600,15081,1540,10.21,4.64,5.0,85.29,98.9,15882.837734610857,22309.246207483422,180193,tab:red
27,27,201600,15773,1861,11.8,4.6,5.0,86.76,98.79,15230.051238351807,21962.1048759467,179169,tab:red
28,28,201600,14710,1236,8.4,4.61,5.0,87.94,99.26,14313.824549466497,19029.854329671278,180560,tab:red
29,29,200256,15073,1581,10.49,4.58,5.0,88.18,99.64,13464.648340113465,18855.364744612507,178421,tab:red
