,id,total_timestamps,driving,timestamps_no_capa,percentage,average priority,median priority,average soc,median soc,recharge sum,consumption sum,time plugged in,color
0,0,403200,31372,2720,8.67,4.54,5.0,90.83,100.0,32459.714526213458,43449.48013311642,358470,tab:red
1,1,403200,30181,2838,9.4,4.52,5.0,91.12,100.0,30764.535708573258,41979.07935604942,360194,tab:red
2,2,401856,29740,2695,9.06,4.52,5.0,91.26,100.0,28255.859532537917,38483.66126599097,358882,tab:red
3,3,403200,29934,2890,9.65,4.58,5.0,90.22,100.0,30744.418491676384,42705.24713261625,360577,tab:red
4,4,401856,30941,2648,8.56,4.47,5.0,91.83,100.0,29615.51428665617,39075.8096769227,357311,tab:red
5,5,403200,30669,2925,9.54,4.59,5.0,89.26,100.0,32636.222767827552,44745.53765187881,359760,tab:red
6,6,403200,30018,2619,8.72,4.5,5.0,92.42,100.0,29407.16499526087,38685.80305886096,360201,tab:red
7,7,401856,31131,2744,8.81,4.49,5.0,91.74,100.0,29110.030248621664,40217.7472409447,356780,tab:red
8,8,403200,30796,2627,8.53,4.52,5.0,91.0,100.0,32811.918965640616,43690.63110957494,359492,tab:red
9,9,401856,29275,2502,8.55,4.53,5.0,91.41,100.0,27154.43515287423,37102.14662925152,359411,tab:red
10,10,403200,31969,3126,9.78,4.54,5.0,90.89,100.0,32432.51165441403,44062.301045296415,357834,tab:red
11,11,403200,30645,3340,10.9,4.56,5.0,90.19,100.0,30344.05607481134,42607.29805606508,359673,tab:red
12,12,401856,28875,2341,8.11,4.51,5.0,91.68,100.0,27394.11043923779,36510.45364906911,359997,tab:red
13,13,403200,30526,3217,10.54,4.57,5.0,89.93,100.0,32839.32509425425,46178.594682061914,360179,tab:red
14,14,403200,30616,2585,8.44,4.52,5.0,91.17,100.0,29336.387610530113,38573.126488385904,359073,tab:red
15,15,401856,30957,2536,8.19,4.51,5.0,91.9,100.0,29680.35304414214,40284.62102468119,357205,tab:red
16,16,403200,31270,3154,10.09,4.57,5.0,90.64,100.0,32256.05836681374,43702.09328559992,358686,tab:red
17,17,401856,28800,2234,7.76,4.47,5.0,92.18,100.0,27386.897171396056,36574.76080862623,360317,tab:red
18,18,403200,30705,3045,9.92,4.58,5.0,90.14,100.0,31723.28093556557,42863.10661981748,359620,tab:red
19,19,401856,29859,2201,7.37,4.46,5.0,92.4,100.0,27678.364036331237,36838.31747570386,358395,tab:red
20,20,403200,30873,3084,9.99,4.55,5.0,90.59,100.0,32084.35207286161,44526.261449348836,359626,tab:red
21,21,403200,30684,2571,8.38,4.53,5.0,90.75,100.0,30521.338609498136,40562.46815793351,359347,tab:red
22,22,401856,29082,2496,8.58,4.53,5.0,91.83,100.0,29117.833013220927,39181.61327545583,360128,tab:red
23,23,403200,30859,3010,9.75,4.53,5.0,90.8,100.0,30036.570560269025,41695.80949371349,358893,tab:red
24,24,401856,29689,1759,5.92,4.45,5.0,92.64,100.0,28330.05728429297,35962.33346157095,358711,tab:red
25,25,403200,30535,2715,8.89,4.57,5.0,90.89,100.0,31759.59986054737,43363.857091707374,359883,tab:red
26,26,401856,30551,2492,8.16,4.48,5.0,91.6,100.0,28913.07515505346,38754.228873247346,357717,tab:red
27,27,403200,31325,3092,9.87,4.56,5.0,89.91,100.0,32646.18969847023,45469.18857720915,358689,tab:red
28,28,403200,30106,2851,9.47,4.55,5.0,91.3,100.0,29540.71180766389,39876.31330945647,360144,tab:red
29,29,401856,30506,2098,6.88,4.47,5.0,92.5,100.0,28695.43990046055,37425.32106663154,357678,tab:red
