timestamp,average,percentile_5,percentile_95
2008-07-13 00:00:00,74.13000000000055,74.1300000000005,74.1300000000005
2008-07-13 00:15:00,70.03499999999987,70.03499999999988,70.03499999999988
2008-07-13 00:30:00,67.96429298736373,66.56999999999987,69.7875992016088
2008-07-13 00:45:00,70.72402604920848,63.21000000000033,80.44660734101544
2008-07-13 01:00:00,68.33795441721948,59.220000000000105,79.02000000000011
2008-07-13 01:15:00,65.4620226787842,55.01999999999979,77.02275042179791
2008-07-13 01:30:00,58.3011189124325,50.82000000000027,68.0841205671516
2008-07-13 01:45:00,48.80429793618978,47.355000000000295,50.69953369889918
2008-07-13 02:00:00,49.229999999999855,44.939999999999856,54.839999999999854
2008-07-13 02:15:00,44.44845663273779,43.36500000000009,45.86528453708711
2008-07-13 02:30:00,48.9076886215519,42.419999999999945,57.39158912665832
2008-07-13 02:45:00,52.67254594447136,44.580853601478765,60.83249064108755
2008-07-13 03:00:00,48.932999999999836,41.474999999999845,55.97399999999985
2008-07-13 03:15:00,55.22521186682891,41.26499999999989,69.08610430806687
2008-07-13 03:30:00,52.908000000000015,41.16,63.876
2008-07-13 03:45:00,51.27040219791946,41.16,60.09692814904491
2008-07-13 04:00:00,49.62242240523738,41.36999999999995,57.63384582903123
2008-07-13 04:15:00,48.147920328763284,45.12742349686023,53.286519720906696
2008-07-13 04:30:00,47.32151515601273,41.89500000000015,51.67618882156766
2008-07-13 04:45:00,43.083000000000176,41.89500000000015,48.37500000000014
2008-07-13 05:00:00,51.40547449895361,41.89500000000015,61.69500000000015
2008-07-13 05:15:00,53.964000000000134,42.00000000000013,63.177000000000135
2008-07-13 05:30:00,63.17399999999979,42.62999999999982,83.60699999999981
2008-07-13 05:45:00,61.84737367479799,43.99500000000017,78.99940078799516
2008-07-13 06:00:00,64.19450434655606,51.755779261283664,75.91199999999968
2008-07-13 06:15:00,67.93499999999992,49.87499999999992,79.37699999999992
2008-07-13 06:30:00,78.44096448624434,54.43009380737078,95.45452785167952
2008-07-13 06:45:00,84.31743748046681,60.35012016976931,101.46157695305985
2008-07-13 07:00:00,98.3291800103578,72.0013680363613,126.53006910061748
2008-07-13 07:15:00,98.7537982707959,80.95415562551358,118.11044817031936
2008-07-13 07:30:00,104.7376047362315,84.73350811606844,125.67982227571808
2008-07-13 07:45:00,112.12988835953321,90.690564435542,136.33934330957894
2008-07-13 08:00:00,126.24304010928475,103.30395572878709,145.33290865055363
2008-07-13 08:15:00,121.728424109449,107.17851623091522,137.63936233313547
2008-07-13 08:30:00,142.1884496774319,125.43454042309979,160.8216697981465
2008-07-13 08:45:00,173.54430605774084,137.07359494722576,206.5415913711108
2008-07-13 09:00:00,170.30016141561612,151.07801177696692,189.43928807366245
2008-07-13 09:15:00,175.2272200223691,160.54855872052008,194.90862049451368
2008-07-13 09:30:00,182.784643222723,155.3384089784783,205.95113667893023
2008-07-13 09:45:00,182.7051197266475,156.23389811562458,209.5085240766484
2008-07-13 10:00:00,191.37174070743964,168.64053160516278,208.5309377523355
2008-07-13 10:15:00,215.9561310263891,184.09921831104887,249.73236090640293
2008-07-13 10:30:00,215.01841506523195,182.2909566372137,250.44347334299448
2008-07-13 10:45:00,212.04293998699998,181.81944776032765,239.182351318466
2008-07-13 11:00:00,215.61691054750827,173.03082319901134,258.4674818722882
2008-07-13 11:15:00,217.37932707644828,179.99521565466023,254.72912727430156
2008-07-13 11:30:00,210.49455370831402,184.52720536300768,234.04940053797188
2008-07-13 11:45:00,204.58040787421118,177.71447596559622,232.5478822045108
2008-07-13 12:00:00,200.46974942357545,185.13032083759208,223.38724491200878
2008-07-13 12:15:00,214.40852539044766,191.98445237359346,241.9499999999999
2008-07-13 12:30:00,203.4079183761463,186.5574920468294,222.21572121985758
2008-07-13 12:45:00,207.40030317002564,177.59404474802568,240.2356275363328
2008-07-13 13:00:00,203.11656897548227,175.27551176843002,236.98886416384963
2008-07-13 13:15:00,193.143595628768,173.1110458412728,219.21543087254042
2008-07-13 13:30:00,202.1129540228215,183.89398027554324,223.6846237989568
2008-07-13 13:45:00,180.7545595549886,157.4463254440015,200.74825053605053
2008-07-13 14:00:00,173.21320863325133,155.23232696503214,188.98611260986334
2008-07-13 14:15:00,157.64645438820827,140.53395923389058,176.95535763521173
2008-07-13 14:30:00,170.51251280370647,153.7499911942439,187.445450853796
2008-07-13 14:45:00,187.20803661117526,172.23377239434126,217.70307088035952
2008-07-13 15:00:00,187.77258349232997,162.55226849913075,215.15779233708093
2008-07-13 15:15:00,202.45250893155517,176.00191734287338,237.64401687998333
2008-07-13 15:30:00,219.41536405373512,188.8557657596716,262.8798671447693
2008-07-13 15:45:00,219.41026523394666,186.1139467420566,260.7135028858446
2008-07-13 16:00:00,209.37418254961594,174.23616943268587,249.08395787780358
2008-07-13 16:15:00,214.79077237701122,181.96920284699777,245.0457141244559
2008-07-13 16:30:00,243.19327704536167,193.0558056783982,288.86525261842104
2008-07-13 16:45:00,242.18268628783187,192.71627913898266,294.40271018685706
2008-07-13 17:00:00,254.37318691775326,203.8852167472637,316.749277934818
2008-07-13 17:15:00,266.85525603161193,218.4540994470612,320.95549544751515
2008-07-13 17:30:00,262.34470148754696,225.03911142752048,292.99751967091584
2008-07-13 17:45:00,285.1162195158493,255.43935964756412,332.161632720844
2008-07-13 18:00:00,292.96897855541124,245.69037116532672,333.15619109128414
2008-07-13 18:15:00,297.94616378615086,256.64178433987695,325.0552175266797
2008-07-13 18:30:00,310.6532376453085,279.4302418073324,351.4648501097213
