,id,total_timestamps,driving,timestamps_no_capa,percentage,average priority,median priority,average soc,median soc,recharge sum,consumption sum,time plugged in,color
0,0,33600,2983,218,7.31,4.47,5.0,92.69,100.0,3099.5997203233824,4121.713969753658,29303,tab:red
1,1,33600,2702,414,15.32,4.69,5.0,85.65,100.0,2761.6577777682505,4326.151410275686,29832,tab:red
2,2,33600,2448,338,13.81,4.7,5.0,87.71,100.0,2542.9748723254033,4133.787730684662,30086,tab:red
3,3,33600,2474,214,8.65,4.42,5.0,94.19,100.0,2815.2576381680537,3560.653334979287,30117,tab:red
4,4,33600,2414,98,4.06,4.47,5.0,94.88,100.0,2953.670192082612,3477.188522527193,30229,tab:red
5,5,33600,2256,205,9.09,4.44,5.0,93.63,100.0,2598.1771148492494,3451.5827173494495,30383,tab:red
6,6,33600,2097,158,7.53,4.8,5.0,88.33,100.0,2575.7838727832536,3388.287931336687,30606,tab:red
7,7,33600,3179,373,11.73,4.56,5.0,91.25,100.0,3118.6145112872628,4482.674366821627,29092,tab:red
8,8,33600,2346,247,10.53,4.47,5.0,91.28,100.0,2138.66881592439,2936.55515075034,30238,tab:red
9,9,33600,2798,308,11.01,4.55,5.0,90.9,100.0,2787.4340852211712,3956.7558721038968,29620,tab:red
10,10,33600,2935,281,9.57,4.63,5.0,88.89,100.0,2928.12108385852,4059.1119539509,29461,tab:red
11,11,33600,3128,618,19.76,4.63,5.0,87.17,100.0,2691.673785020999,3861.5082485785815,29154,tab:red
12,12,33600,2663,267,10.03,4.68,5.0,85.46,100.0,2892.469199617716,4132.4257080771595,29897,tab:red
13,13,33600,2532,150,5.92,4.41,5.0,92.38,100.0,2439.4141211334118,3019.9873073887275,29970,tab:red
14,14,33600,2307,75,3.25,4.43,5.0,94.43,100.0,2185.103344731885,2564.1087603542896,30197,tab:red
15,15,33600,2625,140,5.33,4.54,5.0,90.69,100.0,2586.868950827241,3230.9916374397712,29795,tab:red
16,16,33600,2340,42,1.79,4.32,5.0,93.45,100.0,2230.0354927942053,2473.375713212156,30133,tab:red
17,17,33600,1864,31,1.66,4.22,5.0,95.64,100.0,1587.9432892433585,1699.0707951406657,30742,tab:red
18,18,33600,2442,64,2.62,4.35,5.0,95.03,100.0,1910.0570170410922,2167.3775285695638,29919,tab:red
19,19,32256,1298,65,5.01,4.57,5.0,95.99,100.0,811.1625103026024,1121.0390492345314,30250,tab:red
20,20,33600,2824,196,6.94,4.54,5.0,90.59,100.0,3146.8086916441603,3847.1505405010957,29695,tab:red
21,21,33600,2894,286,9.88,4.56,5.0,92.54,100.0,2698.1589776010032,3633.6752511188806,29518,tab:red
22,22,33600,2705,275,10.17,4.43,5.0,90.95,100.0,2665.522619136607,3771.5289506357026,29794,tab:red
23,23,33600,2492,349,14.0,4.77,5.0,86.06,100.0,2024.3362497213245,3647.698915441275,30003,tab:red
24,24,33600,2736,168,6.14,4.51,5.0,91.71,100.0,2661.813507931365,3307.903305013177,29569,tab:red
25,25,33600,2820,262,9.29,4.38,5.0,91.91,100.0,2823.2642753042496,3728.9641284036397,29627,tab:red
26,26,33600,2477,331,13.36,4.44,5.0,93.84,100.0,2580.584367967834,4125.127807102627,30098,tab:red
27,27,33600,2775,208,7.5,4.57,5.0,92.47,100.0,2777.578613946564,3369.0441772112895,29700,tab:red
28,28,33600,2480,165,6.65,4.43,5.0,93.15,100.0,2457.1127961423663,3176.6511557845047,30060,tab:red
29,29,33600,2595,315,12.14,4.79,5.0,83.38,100.0,2465.6178541367995,3713.607313504441,29950,tab:red
